,Gemeindename,average
778,Grimisuat,166.3232083531087
779,Grindel,170.18867924528303
780,Grindelwald,182.80213631739574
781,Grolley,152.1657754010695
782,Grono,153.6207565470417
783,Grossaffoltern,161.86871673565938
784,Grossdietwil,164.67467248908298
785,Grosshöchstetten,160.54854771784233
786,Grosswangen,162.78841870824053
787,Grub (AR),169.12596899224806
788,Gruyères,153.57241379310344
789,Gryon,173.02576687116564
790,Grächen,180.72037914691944
791,Gränichen,166.1336545777327
792,Grône,165.9558823529412
793,Grüningen,162.42601126472096
794,Grüsch,166.75770925110132
795,Gsteig,194.44224924012158
796,Gsteigwiler,173.4264705882353
797,Guggisberg,180.4341637010676
798,Gunzgen,164.95969289827255
799,Gurbrü,163.31901840490798
800,Gurmels,155.2092034029389
801,Gurtnellen,171.26492537313433
802,Gurzelen,168.15
803,Guttannen,174.78947368421052
804,Guttet-Feschel,173.34728033472803
805,Gy,162.2189781021898
806,Gächlingen,178.85655737704917
807,Gänsbrunnen,179.45833333333334
808,Göschenen,162.65934065934067
809,Gündlischwand,174.4909090909091
810,Günsberg,168.4138418079096
811,Güttingen,166.46598639455783
812,Habkern,195.85852090032154
813,Habsburg,165.18014705882354
814,Hagenbuch,159.51190476190476
815,Hagneck,170.63076923076923
816,Haldenstein,170.49166666666667
817,Hallau,175.27441077441077
818,Hallwil,167.10694183864916
819,Halten,159.63313609467457
820,Hasle (LU),176.06509433962265
821,Hasle bei Burgdorf,166.54830287206266
822,Hasliberg,175.97378277153558
823,Hauenstein-Ifenthal,174.08
824,Hauptwil-Gottshaus,168.3605504587156
825,Hausen (AG),160.24591786244434
826,Hausen am Albis,160.8551912568306
827,Haut-Intyamon,158.2277777777778
828,Haute-Ajoie,163.54095826893354
829,Haute-Sorne,157.29801849405547
830,Hauterive (FR),150.20921985815602
831,Hauterive (NE),151.77377521613832
832,Hauteville,153.88888888888889
833,Hedingen,162.3757431629013
834,Hefenhofen,164.69565217391303
835,Heiden,167.64674698795181
